pattern_name,sale_type,repeat_width_inches,repeat_height_inches,material_width_inches,panel_sequence,available_lengths_feet,pattern_match,min_yard_order,repeat_url,sku,product_tearsheet_url,product_page_url,360_view_url,description
Cabochon in Sunstone,yard,27.5,35.7,27.5,,,straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/CAB03.png,CAB03.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Cabochon-Sunstone-CAB03.2-Tearsheet.pdf?v=1778173013,https://fayebell.com/products/cabochon-in-sunstone,https://panoraven.com/en/embed/bhEQIaPj7V,
Charcoal Sound,panel,110.25,154.13,27.5,ABCD,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/SD03.2.png,SD03.3,cdn.shopify.com/s/files/1/0571/8700/8610/files/Sound-Charcoal-SD03.3-Tearsheet.pdf?v=1778173139,https://fayebell.com/products/charcoal-sound,https://panoraven.com/en/embed/IVdDttxYQB,
Claret Sound,panel,110.25,154.13,54,ABCD,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/SD12.png,SD12.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Sound-Claret-SD12.2-Tearsheet.pdf?v=1778173137,https://fayebell.com/products/claret-sound,https://panoraven.com/en/embed/RkMba6UETH,
Discotheque in Aqua,yard,9.19,8.17,27.5,,,straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/DT04.jpg,DT04.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Discotheque-Aqua-DT04.2-Tearsheet.pdf?v=1778173017,https://fayebell.com/products/discotheque-in-aqua,https://panoraven.com/en/embed/AY3FraT6fN,
Discotheque in Ash,yard,9.19,8.17,27.5,,,straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/DT01.jpg,DT01.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Discotheque-Ash-DT01.2-Tearsheet.pdf?v=1778173016,https://fayebell.com/products/discotheque-in-ash,https://panoraven.com/en/embed/w2tB2K6MW8,
Discotheque in Avocado,yard,9.19,8.17,27.5,,,straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/DT06.jpg,DT06.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Discotheque-Avocado-DT06.2-Tearsheet.pdf?v=1778173019,https://fayebell.com/products/discotheque-in-avocado,https://panoraven.com/en/embed/TxhUhMcx5G,
Discotheque in Evergreen,yard,9.19,8.17,27.5,,,straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/DT07.jpg,DT07.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Discotheque-Evergreen-DT07.2-Tearsheet.pdf?v=1778173018,https://fayebell.com/products/discotheque-in-evergreen,https://panoraven.com/en/embed/JXz5jamBbv,
Discotheque in Harvest,yard,9.19,8.17,27.5,,,straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/DT02.jpg,DT02.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Discotheque-Harvest-DT02.2-Tearsheet.pdf?v=1778173019,https://fayebell.com/products/discotheque-in-harvest,https://panoraven.com/en/embed/r2qfKlxmrG,
Discotheque in Rust,yard,9.19,8.17,27.5,,,straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/DT03.jpg,DT03.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Discotheque-Rust-DT03.2-Tearsheet.pdf?v=1778173019,https://fayebell.com/products/discotheque-in-rust,https://panoraven.com/en/embed/4vByd7pD2Q,
Dreamhouse in Amelia,panel,55.1,58.2,27.5,AB,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/DH04.jpg,DH04.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Dreamhouse-Amelia-DH04.2-Tearsheet.pdf?v=1778173008,https://fayebell.com/products/dreamhouse-in-amelia,,
Dreamhouse in Atlantis,panel,55.1,58.2,27.5,AB,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/DH14.png,DH14.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Dreamhouse-Atlantis-DH14.2-Tearsheet.pdf?v=1778173007,https://fayebell.com/products/dreamhouse-in-atlantis,https://panoraven.com/en/embed/Y2ExGeUfso,
Dreamhouse in Camo,panel,55.1,58.2,27.5,AB,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/DH13.png,DH13.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Dreamhouse-Camo-DH13.2-Tearsheet.pdf?v=1778173007,https://fayebell.com/products/dreamhouse-in-atlantis-copy,https://panoraven.com/en/embed/WSFavahvVW,
Dreamhouse in Celeste,panel,55.1,58.2,27.5,AB,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/DH01.jpg,DH01.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Dreamhouse-Celeste-DH01.2-Tearsheet.pdf?v=1778173007,https://fayebell.com/products/dreamhouse-in-celeste,,
Dreamhouse in Daphne,panel,55.1,58.2,27.5,AB,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/DH06.jpg,DH06.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Dreamhouse-Daphne-DH06.2-Tearsheet.pdf?v=1778173008,https://fayebell.com/products/dreamhouse-in-daphne,,
Dreamhouse in Elmer,panel,55.1,58.2,27.5,AB,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/DH02.jpg,DH02.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Dreamhouse-Elmer-DH02.2-Tearsheet.pdf?v=1778173008,https://fayebell.com/products/dreamhouse-in-elmer,,
Dreamhouse in Fleur,panel,55.1,58.2,27.5,AB,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/DH12.png,DH12.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Dreamhouse-Fleur-DH12.2-Tearsheet.pdf?v=1778173007,https://fayebell.com/products/dreamhouse-in-fleur,https://panoraven.com/en/embed/Of3rTVppAI,
Dreamhouse in Harriet,panel,55.1,58.2,27.5,AB,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/DH05.jpg,DH05.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Dreamhouse-Harriet-DH05.2-Tearsheet.pdf?v=1778173008,https://fayebell.com/products/dreamhouse-in-harriet,,
Dreamhouse in Monie,panel,55.1,58.2,27.5,AB,"9,12,15,18,21,24,27",straight,5,https://raw.githubusercontent.com/fayekaubell/calculator-base/main/data/patterns/DH08.jpg,DH08.2,cdn.shopify.com/s/files/1/0571/8700/8610/files/Dreamhouse-Monie-DH08.2-Tearsheet.pdf?v=1778173008,https://fayebell.com/products/dreamhouse-in-monie,,
